Código IBGE;Cidade;Estado;População
1100015;Alta Floresta d'Oeste; Rondônia;25437
1100023;Ariquemes; Rondônia;107345
1100031;Cabixi; Rondônia;6224
1100049;Cacoal; Rondônia;88507
1100056;Cerejeiras; Rondônia;17934
1100064;Colorado do Oeste; Rondônia;18467
1100072;Corumbiara; Rondônia;8659
1100080;Costa Marques; Rondônia;17400
1100098;Espigão d'Oeste; Rondônia;33030
1100106;Guajará-Mirim; Rondônia;47451
1100114;Jaru; Rondônia;55871
1100122;Ji-Paraná; Rondônia;132667
1100130;Machadinho d'Oeste; Rondônia;38609
1100148;Nova Brasilândia d'Oeste; Rondônia;21747
1100155;Ouro Preto do Oeste; Rondônia;39759
1100189;Pimenta Bueno; Rondônia;38051
1100205;Porto Velho; Rondônia;519436
1100254;Presidente Médici; Rondônia;22124
1100262;Rio Crespo; Rondônia;3829
1100288;Rolim de Moura; Rondônia;57074
1100296;Santa Luzia d'Oeste; Rondônia;8198
1100304;Vilhena; Rondônia;95630
1100320;São Miguel do Guaporé; Rondônia;24181
1100338;Nova Mamoré; Rondônia;28891
1100346;Alvorada d'Oeste; Rondônia;16747
1100379;Alto Alegre dos Parecis; Rondônia;14045
1100403;Alto Paraíso; Rondônia;20916
1100452;Buritis; Rondônia;39044
1100502;Novo Horizonte do Oeste; Rondônia;10051
1100601;Cacaulândia; Rondônia;6460
1100700;Campo Novo de Rondônia; Rondônia;14484
1100809;Candeias do Jamari; Rondônia;25266
1100908;Castanheiras; Rondônia;3550
1100924;Chupinguaia; Rondônia;10593
1100940;Cujubim; Rondônia;22443
1101005;Governador Jorge Teixeira; Rondônia;9745
1101104;Itapuã do Oeste; Rondônia;10310
1101203;Ministro Andreazza; Rondônia;10751
1101302;Mirante da Serra; Rondônia;12258
1101401;Monte Negro; Rondônia;16186
1101435;Nova União; Rondônia;7769
1101450;Parecis; Rondônia;5904
1101468;Pimenteiras do Oeste; Rondônia;2410
1101476;Primavera de Rondônia; Rondônia;3411
1101484;São Felipe d'Oeste; Rondônia;5994
1101492;São Francisco do Guaporé; Rondônia;19694
1101500;Seringueiras; Rondônia;12653
1101559;Teixeirópolis; Rondônia;4931
1101609;Theobroma; Rondônia;11350
1101708;Urupá; Rondônia;13106
1101757;Vale do Anari; Rondônia;11149
1101807;Vale do Paraíso; Rondônia;8047
1200013;Acrelândia; Acre;14366
1200054;Assis Brasil; Acre;6986
1200104;Brasiléia; Acre;24765
1200138;Bujari; Acre;9664
1200179;Capixaba; Acre;11136
1200203;Cruzeiro do Sul; Acre;82622
1200252;Epitaciolândia; Acre;17340
1200302;Feijó; Acre;32360
